n_features,features,train_rmse,test_mae,test_rmse,test_r2,intercept,coefficients_json
7,feat_poverty_rate|feat_total_population|feat_unemployment_rate|max_temp_celsius|min_temp_celsius|overall_homeless|unsheltered_homeless,171.59530601359728,124.46210593162985,174.13447781179596,0.1598832420525811,4857.3713098539565,"{""feat_poverty_rate"":-1148.00425865714,""feat_total_population"":-0.00012514295707152987,""feat_unemployment_rate"":25427.143439982832,""max_temp_celsius"":7.667897341211005,""min_temp_celsius"":4.070067131929614,""overall_homeless"":-0.0007943375676383725,""unsheltered_homeless"":0.0010299912818283366}"
5,feat_median_hh_income|feat_poverty_rate|feat_total_population|max_temp_celsius|overall_homeless,172.87349155311415,126.16930074741133,174.15786798256724,0.15965753380188696,83.28726426780483,"{""feat_median_hh_income"":-0.00035588733530525355,""feat_poverty_rate"":2078.246096139955,""feat_total_population"":-9.597273057391461e-06,""max_temp_celsius"":11.608498093794115,""overall_homeless"":-7.041938150171846e-05}"
5,feat_median_hh_income|feat_poverty_rate|feat_unemployment_rate|max_temp_celsius|unsheltered_homeless,172.90476917545539,125.84959037056841,174.2543550015934,0.15872614205891888,-498.8279175505196,"{""feat_median_hh_income"":-0.001011461886469899,""feat_poverty_rate"":1876.9586819516553,""feat_unemployment_rate"":2655.75489557839,""max_temp_celsius"":11.599907637540172,""unsheltered_homeless"":-6.794965478378725e-05}"
4,feat_median_hh_income|feat_poverty_rate|max_temp_celsius|overall_homeless,172.87680341610917,126.1872914749401,174.28258089927994,0.15845357919508118,-389.44033666538314,"{""feat_median_hh_income"":-0.0006506347184698844,""feat_poverty_rate"":2129.945013180725,""max_temp_celsius"":11.604252930005963,""overall_homeless"":-7.063151460612236e-05}"
6,feat_poverty_rate|feat_total_population|feat_unemployment_rate|max_temp_celsius|min_temp_celsius|overall_homeless,171.79206036014642,124.46793902043774,174.40631303102208,0.15725824120573795,4895.18343752744,"{""feat_poverty_rate"":-1112.2872784737806,""feat_total_population"":-0.00012585340167348567,""feat_unemployment_rate"":25123.982686189633,""max_temp_celsius"":7.640198848047243,""min_temp_celsius"":4.09335533972608,""overall_homeless"":-6.157856187936942e-05}"
6,feat_median_hh_income|feat_poverty_rate|feat_unemployment_rate|max_temp_celsius|overall_homeless|unsheltered_homeless,172.66415564766817,126.4184021063895,174.47685733082753,0.15657635475763376,-501.60918761060066,"{""feat_median_hh_income"":-0.0009676799121167,""feat_poverty_rate"":1810.719855031043,""feat_unemployment_rate"":3041.115714708306,""max_temp_celsius"":11.603824316150208,""overall_homeless"":-0.00082412947416778,""unsheltered_homeless"":0.0010589833151933407}"
7,feat_median_hh_income|feat_poverty_rate|feat_total_population|feat_unemployment_rate|max_temp_celsius|min_temp_celsius|unsheltered_homeless,171.81711923778278,124.27474410184033,174.75097780012038,0.1539240682845876,4582.580209799932,"{""feat_median_hh_income"":-0.0004093000216984517,""feat_poverty_rate"":-883.633145772169,""feat_total_population"":-0.00011967623395159299,""feat_unemployment_rate"":25097.135273773078,""max_temp_celsius"":7.6285691085936325,""min_temp_celsius"":4.106654331093585,""unsheltered_homeless"":-5.60719947251136e-05}"
5,feat_median_hh_income|feat_poverty_rate|feat_unemployment_rate|max_temp_celsius|overall_homeless,172.87086020802138,126.58829638379122,174.8274584631071,0.1531833272712687,-498.7365770007458,"{""feat_median_hh_income"":-0.001004124917523115,""feat_poverty_rate"":1871.2342978675913,""feat_unemployment_rate"":2698.4877520673854,""max_temp_celsius"":11.598506933603034,""overall_homeless"":-7.078810974362531e-05}"
8,feat_median_hh_income|feat_poverty_rate|feat_total_population|feat_unemployment_rate|max_temp_celsius|min_temp_celsius|overall_homeless|unsheltered_homeless,171.59278827550082,124.8146186983488,174.90891216944442,0.15239406423964785,4553.157188012716,"{""feat_median_hh_income"":-0.00036999784345817863,""feat_poverty_rate"":-933.259691147459,""feat_total_population"":-0.00011905423731674098,""feat_unemployment_rate"":25352.486268930665,""max_temp_celsius"":7.665274707987366,""min_temp_celsius"":4.072611430379507,""overall_homeless"":-0.0007933923167859782,""unsheltered_homeless"":0.0010287373975351895}"
7,feat_median_hh_income|feat_poverty_rate|feat_total_population|feat_unemployment_rate|max_temp_celsius|min_temp_celsius|overall_homeless,171.7890442878158,124.89588597292133,175.25918926636623,0.14899578990856388,4561.99950788308,"{""feat_median_hh_income"":-0.00040517080942367224,""feat_poverty_rate"":-877.1761352271913,""feat_total_population"":-0.00011918492497739352,""feat_unemployment_rate"":25042.632524250566,""max_temp_celsius"":7.6373638267998825,""min_temp_celsius"":4.096110460924878,""overall_homeless"":-6.15202973801015e-05}"
3,feat_total_population|feat_unemployment_rate|max_temp_celsius,172.85698013343332,128.4782218216286,177.3888748591973,0.1281879446747658,3451.741545307895,"{""feat_total_population"":-9.209040598364236e-05,""feat_unemployment_rate"":16960.160673056984,""max_temp_celsius"":11.616280332460603}"
4,feat_total_population|feat_unemployment_rate|max_temp_celsius|unsheltered_homeless,172.8268116616694,129.96172768939442,178.68217164986308,0.1154292873627123,3436.6674641350414,"{""feat_total_population"":-9.176005297076324e-05,""feat_unemployment_rate"":16976.760524026984,""max_temp_celsius"":11.612043875388855,""unsheltered_homeless"":-6.678823060434805e-05}"
5,feat_total_population|feat_unemployment_rate|max_temp_celsius|overall_homeless|unsheltered_homeless,172.5872231166884,130.40418670392802,178.75237802392795,0.11473403386120506,3342.7134392358353,"{""feat_total_population"":-8.965272159934275e-05,""feat_unemployment_rate"":17023.47941228849,""max_temp_celsius"":11.616095727825755,""overall_homeless"":-0.0008221302090422954,""unsheltered_homeless"":0.00105738996203266}"
4,feat_total_population|feat_unemployment_rate|max_temp_celsius|overall_homeless,172.7934337249101,130.63271899664275,179.24294137831706,0.10986836484231843,3422.1754055511637,"{""feat_total_population"":-9.143834774170254e-05,""feat_unemployment_rate"":16987.893950390462,""max_temp_celsius"":11.610560992821801,""overall_homeless"":-6.991248433973985e-05}"
4,feat_median_hh_income|feat_total_population|feat_unemployment_rate|max_temp_celsius,172.85016538464208,130.09024405593908,179.68863472013547,0.10543617938786454,3360.979489015685,"{""feat_median_hh_income"":-0.00056462952136608,""feat_total_population"":-9.233751947524092e-05,""feat_unemployment_rate"":19300.055185549394,""max_temp_celsius"":11.613839038707184}"
6,feat_median_hh_income|feat_total_population|feat_unemployment_rate|max_temp_celsius|overall_homeless|unsheltered_homeless,172.5812300630466,131.85309958465086,180.86007781432008,0.09373430969940966,3257.8284791870233,"{""feat_median_hh_income"":-0.0005291140505887959,""feat_total_population"":-8.988803793436246e-05,""feat_unemployment_rate"":19216.08118324524,""max_temp_celsius"":11.613816130126986,""overall_homeless"":-0.0008210745212908434,""unsheltered_homeless"":0.0010561567196943676}"
5,feat_median_hh_income|feat_total_population|feat_unemployment_rate|max_temp_celsius|unsheltered_homeless,172.8201966555786,131.53974282878227,180.93943477610372,0.09293884095191618,3347.3008838468363,"{""feat_median_hh_income"":-0.0005562587516769307,""feat_total_population"":-9.200459665190611e-05,""feat_unemployment_rate"":19281.91057923933,""max_temp_celsius"":11.609652798874105,""unsheltered_homeless"":-6.656712892111372e-05}"
5,feat_median_hh_income|feat_total_population|feat_unemployment_rate|max_temp_celsius|overall_homeless,172.78695773505555,132.1874046134227,181.47031628495333,0.0876083454038411,3333.789608601572,"{""feat_median_hh_income"":-0.0005503349716432123,""feat_total_population"":-9.168093561013322e-05,""feat_unemployment_rate"":19268.47648622293,""max_temp_celsius"":11.608196682130647,""overall_homeless"":-6.972695216237243e-05}"
4,feat_poverty_rate|feat_total_population|feat_unemployment_rate|max_temp_celsius,172.84466514205653,132.1352615481741,181.89249753499843,0.083358143775067,4768.402570748834,"{""feat_poverty_rate"":-1154.159667308418,""feat_total_population"":-0.00012570550525113847,""feat_unemployment_rate"":25601.359532918996,""max_temp_celsius"":11.608525006389424}"
5,feat_median_hh_income|feat_poverty_rate|feat_total_population|feat_unemployment_rate|max_temp_celsius,172.84277354044397,132.4728997821452,182.52503343470875,0.0769717667737414,4503.607146810774,"{""feat_median_hh_income"":-0.00032182833617579024,""feat_poverty_rate"":-967.3929741725417,""feat_total_population"":-0.00012040674330133374,""feat_unemployment_rate"":25536.73279605889,""max_temp_celsius"":11.60838848506393}"
5,feat_poverty_rate|feat_total_population|feat_unemployment_rate|max_temp_celsius|unsheltered_homeless,172.81504259079006,133.484755138198,183.05311733173488,0.07162300484230832,4723.972954011744,"{""feat_poverty_rate"":-1128.3079753593283,""feat_total_population"":-0.00012462519723498405,""feat_unemployment_rate"":25424.257908530526,""max_temp_celsius"":11.604500472634092,""unsheltered_homeless"":-6.61857813276253e-05}"
