run,train_rmse,test_rmse,train_r2,test_r2,train_mae,test_mae
"Before tuning (depth=5, leaf=4, split=2)",76.21434379334391,212.07362698371708,0.8865009319492507,0.6155447828174265,53.01334833145857,155.86004464285713
After tuning (selected),111.89377127184241,213.44658591121814,0.7553581854790997,0.6105507640411244,75.49907770816574,139.80277697153423
