hri_value,max_temp_celsius,min_temp_celsius,feat_poverty_rate,feat_unemployment_rate,feat_median_hh_income,feat_total_population,overall_homeless,unsheltered_homeless
152,34.4,8.9,0.123822999,0.064024887,75925.25,51047292,49612,15618
63,30.6,10.6,0.123822999,0.064024887,75925.25,51047292,49612,15618
392,38.9,11.7,0.122209383,0.062661603,82736.5,51083792,69137,31698
632,38.3,16.7,0.122209383,0.062661603,82736.5,51083792,69137,31698
137,34.4,13.3,0.122209383,0.062661603,82736.5,51083792,69137,31698
201,35,12.8,0.122209383,0.062661603,82736.5,51083792,69137,31698
88,32.8,12.8,0.122209383,0.062661603,82736.5,51083792,69137,31698
156,35.6,12.2,0.122209383,0.062661603,82736.5,51083792,69137,31698
92,32.8,9.4,0.122209383,0.062661603,82736.5,51083792,69137,31698
75,33.9,11.1,0.122209383,0.062661603,82736.5,51083792,69137,31698
57,31.1,3.9,0.122209383,0.062661603,82736.5,51083792,69137,31698
42,31.1,0.6,0.122209383,0.062661603,82736.5,51083792,69137,31698
31,29.4,0,0.122209383,0.062661603,82736.5,51083792,69137,31698
28,30.6,1.1,0.122209383,0.062661603,82736.5,51083792,69137,31698
24,28.9,-3.2,0.122209383,0.062661603,82736.5,51083792,69137,31698
23,26.7,0,0.122209383,0.062661603,82736.5,51083792,69137,31698
23,28.9,-9.3,0.122209383,0.062661603,82736.5,51083792,69137,31698
26,30,-7.1,0.122209383,0.062661603,82736.5,51083792,69137,31698
26,28.9,-1,0.122209383,0.062661603,82736.5,51083792,69137,31698
28,29.4,-4.3,0.122209383,0.062661603,82736.5,51083792,69137,31698
15,25.6,-6.6,0.122209383,0.062661603,82736.5,51083792,69137,31698
13,22.2,-6.6,0.122209383,0.062661603,82736.5,51083792,69137,31698
15,26.1,-7.7,0.122209383,0.062661603,82736.5,51083792,69137,31698
7,18.3,-14.3,0.122209383,0.062661603,82736.5,51083792,69137,31698
11,22.2,-10.5,0.122209383,0.062661603,82736.5,51083792,69137,31698
13,25,-8.2,0.122209383,0.062661603,82736.5,51083792,69137,31698
15,28.3,-12.1,0.122209383,0.062661603,82736.5,51083792,69137,31698
16,27.8,7.8,0.122209383,0.062661603,82736.5,51083792,69137,31698
210,35.6,15,0.122209383,0.062661603,82736.5,51083792,69137,31698
242,35.6,17.2,0.122209383,0.062661603,82736.5,51083792,69137,31698
417,37.8,20,0.122209383,0.062661603,82736.5,51083792,69137,31698
109,33.3,15,0.122209383,0.062661603,82736.5,51083792,69137,31698
148,35.6,14.4,0.122209383,0.062661603,82736.5,51083792,69137,31698
